Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
AB569260,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0401"
AB569261,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),234,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-451"
AB569262,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0472"
AB569263,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0496"
AB569264,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0513"
AB569265,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0519"
AB569266,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),229,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0546"
AB569267,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0560"
AB569268,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0561"
AB569269,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0568"
AB569270,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),231,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0569"
AB569271,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0575"
AB569272,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0588"
AB569273,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0592"
AB569274,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),233,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0597"
AB569275,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0598"
AB569276,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-0608"
AB569277,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-09-0043"
AB569278,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0472"
AB569279,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),293,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0568"
AB569280,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0569"
AB569281,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0608"
AB569282,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-09-0043"
AB569283,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0598"
AB569284,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0597"
AB569285,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0592"
AB569286,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0575"
AB569287,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0561"
AB569288,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0560"
AB569289,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0546"
AB569290,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0519"
AB569291,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0513"
AB569292,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-0496"
AB569293,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),296,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-451"
AB569294,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),298,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 VP1 gene for capsid protein VP1, partial cds, Hospital study number: TTa-08-343"
AB587132,,Hepacivirus C,Hepacivirus,Flaviviridae,ssRNA(+),328,GenBank,,NS5B,Homo sapiens,blood,,"Hepatitis C virus NS5B gene for non-structural 5B protein, partial cds, isolate: 10MC_01-17"
AB587133,,Hepacivirus C,Hepacivirus,Flaviviridae,ssRNA(+),328,GenBank,,NS5B,Homo sapiens,blood,,"Hepatitis C virus NS5B gene for non-structural 5B protein, partial cds, isolate: 10MC_01-36"
AB587134,,Hepacivirus C,Hepacivirus,Flaviviridae,ssRNA(+),328,GenBank,,NS5B,Homo sapiens,blood,,"Hepatitis C virus NS5B gene for non-structural 5B protein, partial cds, isolate: 10MC_01-49"
AB587135,,Hepacivirus C,Hepacivirus,Flaviviridae,ssRNA(+),326,GenBank,,NS5B,Homo sapiens,blood,,"Hepatitis C virus NS5B gene for non-structural 5B protein, partial cds, isolate: 09MC_09-8062"
AB587136,,Hepacivirus C,Hepacivirus,Flaviviridae,ssRNA(+),544,GenBank,,E1-E2,Homo sapiens,blood,,"Hepatitis C virus gene for polyprotein, partial cds, isolate: 10MC_01-17"
AB587137,,Hepacivirus C,Hepacivirus,Flaviviridae,ssRNA(+),538,GenBank,,E1-E2,Homo sapiens,blood,,"Hepatitis C virus gene for polyprotein, partial cds, isolate: 10MC_01-36"
AB587138,,Hepacivirus C,Hepacivirus,Flaviviridae,ssRNA(+),544,GenBank,,E1-E2,Homo sapiens,blood,,"Hepatitis C virus gene for polyprotein, partial cds, isolate: 10MC_01-49"
AB587139,,Hepacivirus C,Hepacivirus,Flaviviridae,ssRNA(+),538,GenBank,,E1-E2,Homo sapiens,blood,,"Hepatitis C virus gene for polyprotein, partial cds, isolate: 10MC_01-50"
HM045790,,Chikungunya virus,Alphavirus,Togaviridae,ssRNA(+),11907,GenBank,,,Homo sapiens,,,"Chikungunya virus strain PhH15483, complete genome"
HM045800,,Chikungunya virus,Alphavirus,Togaviridae,ssRNA(+),11897,GenBank,,,Homo sapiens,,,"Chikungunya virus strain Hu/85/NR/001, complete genome"
GU723290,,Rice tungro spherical virus,Waikavirus,Secoviridae,ssRNA(+),972,GenBank,new,,Oryza sativa,,,"Rice tungro spherical virus isolate Phil08 polyprotein gene, partial cds"
GU377286,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),289,GenBank,1,,Homo sapiens,,,Dengue virus 1 isolate 99St-12A 3' UTR
GU377287,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),292,GenBank,2,,Homo sapiens,,,Dengue virus 2 isolate 00St-22A 3' UTR
GU377288,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),287,GenBank,3,,Homo sapiens,,,Dengue virus 3 isolate SLMC50 3' UTR
GU377289,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),309,GenBank,4,,Homo sapiens,,,Dengue virus 4 isolate SLMC318 3' UTR
AB543561,,Bat coronavirus Philippines/Diliman1525G2/2008,Betacoronavirus,Coronaviridae,ssRNA(+),4083,GenBank,,,Cynopterus brachyotis,,,"Bat coronavirus Philippines/Diliman1525G2/2008 M, N, NS7a, Ns7b, Ns7c genes for membrane glycoprotein, nucleocapsid phosphoprotein, hypothetical proteins, complete cds"
AB539080,,Bat coronavirus Philippines/Diliman1552G1/2008,Alphacoronavirus,Coronaviridae,ssRNA(+),397,GenBank,,,Scotophilus kuhlii,,,"Bat coronavirus Philippines/Diliman1552G1/2008 RdRp gene for RNA-dependent RNA polymerase, partial cds"
AB539081,,Bat coronavirus Philippines/Diliman1525G2/2008,Betacoronavirus,Coronaviridae,ssRNA(+),440,GenBank,,,Cynopterus brachyotis,,,"Bat coronavirus Philippines/Diliman1525G2/2008 RdRp gene for RNA-dependent RNA polymerase, partial cds"
AB513959,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),288,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-0017/[D3] H gene for hemagglutinin, partial cds"
AB513960,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-0034/[D3] H gene for hemagglutinin, partial cds"
AB513961,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-0045/[D3] H gene for hemagglutinin, partial cds"
AB513962,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-0055/[D3] H gene for hemagglutinin, partial cds"
AB513963,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-0068/[D3] H gene for hemagglutinin, partial cds"
AB513964,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-2131/[D3] H gene for hemagglutinin, partial cds"
AB513965,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-2161/[D3] H gene for hemagglutinin, partial cds"
AB513966,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2001/01-0392/[D3] H gene for hemagglutinin, partial cds"
AB513967,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2001/01-0555/[D3] H gene for hemagglutinin, partial cds"
AB513968,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2001/01-0571/[D3] H gene for hemagglutinin, partial cds"
AB513969,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2001/01-1987/[D3] H gene for hemagglutinin, partial cds"
AB513970,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2001/01-1989/[D3] H gene for hemagglutinin, partial cds"
AB513971,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2002/02-0010/[D3] H gene for hemagglutinin, partial cds"
AB513972,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region11.PHL/2002/02-0510/[D3] H gene for hemagglutinin, partial cds"
AB513973,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2002/02-1450/[D3] H gene for hemagglutinin, partial cds"
AB513974,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region11.PHL/2002/02-1575/[D3] H gene for hemagglutinin, partial cds"
AB513975,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region5.PHL/2003/03-0203/[D3] H gene for hemagglutinin, partial cds"
AB513976,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2003/03-0266/[D3] H gene for hemagglutinin, partial cds"
AB513977,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2003/03-0360/[D3] H gene for hemagglutinin, partial cds"
AB513978,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2003/03-0587/[D3] H gene for hemagglutinin, partial cds"
AB513979,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region3.PHL/2003/03-1044/[D3] H gene for hemagglutinin, partial cds"
AB513980,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2003/03-1079/[D3] H gene for hemagglutinin, partial cds"
AB513981,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region7.PHL/2004/04-0240/[D3] H gene for hemagglutinin, partial cds"
AB513982,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region9.PHL/2007/07-0120 H gene for hemagglutinin, partial cds"
AB513983,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0146/[G3] H gene for hemagglutinin, partial cds"
AB513984,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0186 H gene for hemagglutinin, partial cds"
AB513985,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0233/[G3] H gene for hemagglutinin, partial cds"
AB513986,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Autonomous Region in Muslim Mindanao.PHL/2007/07-0287/[G3] H gene for hemagglutinin, partial cds"
AB513987,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0308/[G3] H gene for hemagglutinin, partial cds"
AB513988,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0342/[G3] H gene for hemagglutinin, partial cds"
AB513989,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0343/[G3] H gene for hemagglutinin, partial cds"
AB513990,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0351 H gene for hemagglutinin, partial cds"
AB513991,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0353/[G3] H gene for hemagglutinin, partial cds"
AB513992,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0377/[G3] H gene for hemagglutinin, partial cds"
AB513993,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2007/07-0378/[G3] H gene for hemagglutinin, partial cds"
AB513994,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region10.PHL/2007/07-0503 H gene for hemagglutinin, partial cds"
AB513995,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region9.PHL/2008/08-008 H gene for hemagglutinin, partial cds"
AB513996,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2008/0242 H gene for hemagglutinin, partial cds"
AB513997,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2008/0245/[G3] H gene for hemagglutinin, partial cds"
AB513998,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region12.PHL/2008/0280 H gene for hemagglutinin, partial cds"
AB513999,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),304,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region12.PHL/2008/0282 H gene for hemagglutinin, partial cds"
AB514000,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region12.PHL/2008/0300 H gene for hemagglutinin, partial cds"
AB514001,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),309,GenBank,,,Homo sapiens,,,"Measles virus MVs/Region10.PHL/2008/0370 H gene for hemagglutinin, partial cds"
AB514002,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),440,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2000/00-0017/[D3] N gene for nucleoprotein, partial cds"
AB514003,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2000/00-0018/[D3] N gene for nucleoprotein, partial cds"
AB514004,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2000/00-0022/[D3] N gene for nucleoprotein, partial cds"
AB514005,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2000/00-0024/[D3] N gene for nucleoprotein, partial cds"
AB514006,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2000/00-0034/[D3] N gene for nucleoprotein, partial cds"
AB514007,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2000/00-0045/[D3] N gene for nucleoprotein, partial cds"
AB514008,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2000/00-0055/[D3] N gene for nucleoprotein, partial cds"
AB514009,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-0068/[D3] N gene for nucleoprotein, partial cds"
AB514010,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-2131/[D3] N gene for nucleoprotein, partial cds"
AB514011,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),441,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2000/00-2161/[D3] N gene for nucleoprotein, partial cds"
AB514012,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2001/01-0392/[D3] N gene for nucleoprotein, partial cds"
AB514013,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2001/01-1966/[D3] N gene for nucleoprotein, partial cds"
AB514014,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2001/01-1987/[D3] N gene for nucleoprotein, partial cds"
AB514015,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/National Capital Region.PHL/2001/01-1989/[D3] N gene for nucleoprotein, partial cds"
AB514016,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),456,GenBank,,,Homo sapiens,,,"Measles virus MVs/PHL/2001/01-2003/[D3] N gene for nucleoprotein, partial cds"
